file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
71274,0.0,95.112,mfa_corpus_goden,-52.61260317001367,-57.14482119932013,7.05334983325408,10.859269600919582
71254,0.0,22.104,mfa_corpus_goden,-55.63394725678733,-58.60424568539574,4.112231596270143,6.939023686289556
71096,0.0,7.956,mfa_corpus_goden,-51.89122369660804,-59.80819769466625,3.660660418479305,17.054236557981362
71271,0.0,38.016,mfa_corpus_goden,-49.23275989610731,-54.22133009774344,3.5059031793983273,11.832162892688345
71257,0.0,69.876,mfa_corpus_goden,-53.36018442329708,-55.76582400430769,3.371001414441266,9.606751338124722
71261,0.0,63.612,mfa_corpus_goden,-53.452891644395535,-57.865222197312576,3.370987602081148,10.440133381675746
71272,0.0,43.812,mfa_corpus_goden,-51.303715618580235,-54.95526377360026,3.3252596113579482,11.056597488445075
71258,0.0,32.184,mfa_corpus_goden,-53.63492464263518,-57.11631512112088,3.287681273369065,8.544791330935908
71269,0.0,42.912,mfa_corpus_goden,-49.99610740503379,-55.7452123260498,2.71832084140687,11.270553861433953
71263,0.0,44.964,mfa_corpus_goden,-52.076908641014235,-55.06617514292399,2.6495110469840153,11.040071343861806
71264,0.0,40.464,mfa_corpus_goden,-49.899534262234305,-54.18920703644448,2.6151023776854427,12.83719504535853
71266,0.0,48.24,mfa_corpus_goden,-55.763085613598676,-57.031771496088815,2.501927715806323,7.336036843554673
71255,0.0,44.82,mfa_corpus_goden,-54.68302724788041,-56.71474767614294,2.4952530155687533,9.695359785947668
71332,0.0,14.868,mfa_corpus_goden,-55.411209650302624,-62.52361488342285,2.4336474127375043,18.692827107207115
71270,0.0,9.9,mfa_corpus_goden,-47.07355192550505,-52.948795827229816,2.212323961208757,11.701530012070823
71329,0.0,7.2,mfa_corpus_goden,-56.30795355902778,-59.85293608445387,1.922661504080689,17.229648387972812
71259,0.0,18.072,mfa_corpus_goden,-53.97518763835086,-57.6174199504237,1.7839413197141178,9.29101560392603
71324,0.0,5.364,mfa_corpus_goden,-51.4318701900653,-62.77045593261719,1.680458018155437,11.427834961606559
71030,0.0,7.02,mfa_corpus_goden,-51.728053774928775,-54.39529037475586,1.3061196925130067,18.100063328636203
71325,0.0,10.188,mfa_corpus_goden,-54.375981354268895,-62.48849058151245,1.0578613580671188,20.04884389309983
71331,0.0,4.572,mfa_corpus_goden,-54.029305422593,-62.004694257463726,1.0536637734263958,19.90843693209137
71326,0.0,5.616,mfa_corpus_goden,-58.14635578847865,-61.36136817932129,1.0536637734263958,18.040769685530755
71334,0.0,11.844,mfa_corpus_goden,-55.93400285050676,-64.38185911912184,1.0536603203363664,16.248571657420616
71327,0.0,5.652,mfa_corpus_goden,-51.230354673672565,-55.66156196594238,0.9740010511903174,22.352024116627838
71330,0.0,6.192,mfa_corpus_goden,-53.22561591276252,-61.72909164428711,0.9740010511903174,18.744189688928092
71333,0.0,11.448,mfa_corpus_goden,-57.73653793668122,-64.27839999728732,0.9234697243297316,15.420048935966951
71328,0.0,3.276,mfa_corpus_goden,-52.0066513433689,-63.09061889648437,0.6989966947324315,19.6620531613461
